DexNumber,Name,Type1,Type2,GenderRatio (M),GenderRatio (F),BaseStats (HP),BaseStats (Atk),BaseStats (Def),BaseStats (Spa),BaseStats (Spd),BaseStats (Spe),Abilities,Height (m),Weight (kg),Color,EvoLevel,Evos
326,Grumpig,Psychic,null,0.5,0.5,80,45,65,90,110,80,0: Thick Fat 1: Own Tempo H: Gluttony,0.9,71.5,Purple,32,
327,Spinda,Normal,null,0.5,0.5,60,60,60,60,60,60,0: Own Tempo 1: Tangled Feet H: Contrary,1.1,5,Brown,,
328,Trapinch,Ground,null,0.5,0.5,45,100,45,45,45,10,0: Hyper Cutter 1: Arena Trap H: Sheer Force,0.7,15,Brown,,Vibrava
329,Vibrava,Ground,Dragon,0.5,0.5,50,70,50,50,50,70,0: Levitate,1.1,15.3,Green,35,Flygon
330,Flygon,Ground,Dragon,0.5,0.5,80,100,80,80,80,100,0: Levitate,2,82,Green,45,
331,Cacnea,Grass,null,0.5,0.5,50,85,40,85,40,35,0: Sand Veil H: Water Absorb,0.4,51.3,Green,,Cacturne
332,Cacturne,Grass,Dark,0.5,0.5,70,115,60,115,60,55,0: Sand Veil H: Water Absorb,1.3,77.4,Green,32,
333,Swablu,Normal,Flying,0.5,0.5,45,40,60,40,75,50,0: Natural Cure H: Cloud Nine,0.4,1.2,Blue,,Altaria
334,Altaria,Dragon,Flying,0.5,0.5,75,70,90,70,105,80,0: Natural Cure H: Cloud Nine,1.1,20.6,Blue,35,
335,Zangoose,Normal,null,0.5,0.5,73,115,60,60,60,90,0: Immunity H: Toxic Boost,1.3,40.3,White,,
336,Seviper,Poison,null,0.5,0.5,73,100,60,100,60,65,0: Shed Skin H: Infiltrator,2.7,52.5,Black,,
337,Lunatone,Rock,Psychic,0.5,0.5,90,55,65,95,85,70,0: Levitate,1,168,Yellow,,
338,Solrock,Rock,Psychic,0.5,0.5,90,95,85,55,65,70,0: Levitate,1.2,154,Red,,
339,Barboach,Water,Ground,0.5,0.5,50,48,43,46,41,60,0: Oblivious 1: Anticipation H: Hydration,0.4,1.9,Gray,,Whiscash
340,Whiscash,Water,Ground,0.5,0.5,110,78,73,76,71,60,0: Oblivious 1: Anticipation H: Hydration,0.9,23.6,Blue,30,
341,Corphish,Water,null,0.5,0.5,43,80,65,50,35,35,0: Hyper Cutter 1: Shell Armor H: Adaptability,0.6,11.5,Red,,Crawdaunt
342,Crawdaunt,Water,Dark,0.5,0.5,63,120,85,90,55,55,0: Hyper Cutter 1: Shell Armor H: Adaptability,1.1,32.8,Red,30,
343,Baltoy,Ground,Psychic,0.5,0.5,40,40,55,40,70,55,0: Levitate,0.5,21.5,Brown,,Claydol
344,Claydol,Ground,Psychic,0.5,0.5,60,70,105,70,120,75,0: Levitate,1.5,108,Black,36,
345,Lileep,Rock,Grass,0.875,0.125,66,41,77,61,87,23,0: Suction Cups H: Storm Drain,1,23.8,Purple,,Cradily
346,Cradily,Rock,Grass,0.875,0.125,86,81,97,81,107,43,0: Suction Cups H: Storm Drain,1.5,60.4,Green,40,
347,Anorith,Rock,Bug,0.875,0.125,45,95,50,40,50,75,0: Battle Armor H: Swift Swim,0.7,12.5,Gray,,Armaldo
348,Armaldo,Rock,Bug,0.875,0.125,75,125,100,70,80,45,0: Battle Armor H: Swift Swim,1.5,68.2,Gray,40,
349,Feebas,Water,null,0.5,0.5,20,15,20,10,55,80,0: Swift Swim 1: Oblivious H: Adaptability,0.6,7.4,Brown,,Milotic
350,Milotic,Water,null,0.5,0.5,95,60,79,100,125,81,0: Marvel Scale 1: Competitive H: Cute Charm,6.2,162,Pink,,
351,Castform,Normal,null,0.5,0.5,70,70,70,70,70,70,0: Forecast,0.3,0.8,Gray,,
351,Castform-Sunny,Fire,null,0.5,0.5,70,70,70,70,70,70,0: Forecast,0.3,0.8,Red,,
351,Castform-Rainy,Water,null,0.5,0.5,70,70,70,70,70,70,0: Forecast,0.3,0.8,Blue,,
351,Castform-Snowy,Ice,null,0.5,0.5,70,70,70,70,70,70,0: Forecast,0.3,0.8,White,,
352,Kecleon,Normal,null,0.5,0.5,60,90,70,60,120,40,0: Color Change H: Protean,1,22,Green,,
353,Shuppet,Ghost,null,0.5,0.5,44,75,35,63,33,45,0: Insomnia 1: Frisk H: Cursed Body,0.6,2.3,Black,,Banette
354,Banette,Ghost,null,0.5,0.5,64,115,65,83,63,65,0: Insomnia 1: Frisk H: Cursed Body,1.1,12.5,Black,37,
355,Duskull,Ghost,null,0.5,0.5,20,40,90,30,90,25,0: Levitate H: Frisk,0.8,15,Black,,Dusclops
356,Dusclops,Ghost,null,0.5,0.5,40,70,130,60,130,25,0: Pressure H: Frisk,1.6,30.6,Black,37,Dusknoir
357,Tropius,Grass,Flying,0.5,0.5,99,68,83,72,87,51,0: Chlorophyll 1: Solar Power H: Harvest,2,100,Green,,
358,Chimecho,Psychic,null,0.5,0.5,75,50,80,95,90,65,0: Levitate,0.6,1,Blue,,
359,Absol,Dark,null,0.5,0.5,65,130,60,75,60,75,0: Pressure 1: Super Luck H: Justified,1.2,47,White,,
360,Wynaut,Psychic,null,0.5,0.5,95,23,48,23,48,23,0: Shadow Tag H: Telepathy,0.6,14,Blue,,Wobbuffet
361,Snorunt,Ice,null,0.5,0.5,50,50,50,50,50,50,0: Inner Focus 1: Ice Body H: Moody,0.7,16.8,Gray,,Glalie
362,Glalie,Ice,null,0.5,0.5,80,80,80,80,80,80,0: Inner Focus 1: Ice Body H: Moody,1.5,256.5,Gray,42,
363,Spheal,Ice,Water,0.5,0.5,70,40,50,55,50,25,0: Thick Fat 1: Ice Body H: Oblivious,0.8,39.5,Blue,,Sealeo
364,Sealeo,Ice,Water,0.5,0.5,90,60,70,75,70,45,0: Thick Fat 1: Ice Body H: Oblivious,1.1,87.6,Blue,32,Walrein
365,Walrein,Ice,Water,0.5,0.5,110,80,90,95,90,65,0: Thick Fat 1: Ice Body H: Oblivious,1.4,150.6,Blue,44,
366,Clamperl,Water,null,0.5,0.5,35,64,85,74,55,32,0: Shell Armor H: Rattled,0.4,52.5,Blue,,Huntail
367,Huntail,Water,null,0.5,0.5,55,104,105,94,75,52,0: Swift Swim H: Water Veil,1.7,27,Blue,,
368,Gorebyss,Water,null,0.5,0.5,55,84,105,114,75,52,0: Swift Swim H: Hydration,1.8,22.6,Pink,,
369,Relicanth,Water,Rock,0.875,0.125,100,90,130,45,65,55,0: Swift Swim 1: Rock Head H: Sturdy,1,23.4,Gray,,
370,Luvdisc,Water,null,0.25,0.75,43,30,55,40,65,97,0: Swift Swim H: Hydration,0.6,8.7,Pink,,
371,Bagon,Dragon,null,0.5,0.5,45,75,60,40,30,50,0: Rock Head H: Sheer Force,0.6,42.1,Blue,,Shelgon
372,Shelgon,Dragon,null,0.5,0.5,65,95,100,60,50,50,0: Rock Head H: Overcoat,1.1,110.5,White,30,Salamence
373,Salamence,Dragon,Flying,0.5,0.5,95,135,80,110,80,100,0: Intimidate H: Moxie,1.5,102.6,Blue,50,
374,Beldum,Steel,Psychic,0.5,0.5,40,55,80,35,60,30,0: Clear Body H: Light Metal,0.6,95.2,Blue,,Metang
375,Metang,Steel,Psychic,0.5,0.5,60,75,100,55,80,50,0: Clear Body H: Light Metal,1.2,202.5,Blue,20,Metagross
376,Metagross,Steel,Psychic,0.5,0.5,80,135,130,95,90,70,0: Clear Body H: Light Metal,1.6,550,Blue,45,
377,Regirock,Rock,null,0.5,0.5,80,100,200,50,100,50,0: Clear Body H: Sturdy,1.7,230,Brown,,
378,Regice,Ice,null,0.5,0.5,80,50,100,100,200,50,0: Clear Body H: Ice Body,1.8,175,Blue,,
379,Registeel,Steel,null,0.5,0.5,80,75,150,75,150,50,0: Clear Body H: Light Metal,1.9,205,Gray,,
380,Latias,Dragon,Psychic,0.5,0.5,80,80,90,110,130,110,0: Levitate,1.4,40,Red,,
381,Latios,Dragon,Psychic,0.5,0.5,80,90,80,130,110,110,0: Levitate,2,60,Blue,,
382,Kyogre,Water,null,0.5,0.5,100,100,90,150,140,90,0: Drizzle,4.5,352,Blue,,
382,Kyogre-Primal,Water,null,0.5,0.5,100,150,90,180,160,90,0: Primordial Sea,9.8,430,Blue,,
383,Groudon,Ground,null,0.5,0.5,100,150,140,100,90,90,0: Drought,3.5,950,Red,,
383,Groudon-Primal,Ground,Fire,0.5,0.5,100,180,160,150,90,90,0: Desolate Land,5,999.7,Red,,
384,Rayquaza,Dragon,Flying,0.5,0.5,105,150,90,150,90,95,0: Air Lock,7,206.5,Green,,
385,Jirachi,Steel,Psychic,0.5,0.5,100,100,100,100,100,100,0: Serene Grace,0.3,1.1,Yellow,,
386,Deoxys,Psychic,null,0.5,0.5,50,150,50,150,50,150,0: Pressure,1.7,60.8,Red,,
386,Deoxys-Attack,Psychic,null,0.5,0.5,50,180,20,180,20,150,0: Pressure,1.7,60.8,Red,,
386,Deoxys-Defense,Psychic,null,0.5,0.5,50,70,160,70,160,90,0: Pressure,1.7,60.8,Red,,
386,Deoxys-Speed,Psychic,null,0.5,0.5,50,95,90,95,90,180,0: Pressure,1.7,60.8,Red,,
387,Turtwig,Grass,null,0.875,0.125,55,68,64,45,55,31,0: Overgrow H: Shell Armor,0.4,10.2,Green,,Grotle
388,Grotle,Grass,null,0.875,0.125,75,89,85,55,65,36,0: Overgrow H: Shell Armor,1.1,97,Green,18,Torterra
389,Torterra,Grass,Ground,0.875,0.125,95,109,105,75,85,56,0: Overgrow H: Shell Armor,2.2,310,Green,32,
390,Chimchar,Fire,null,0.875,0.125,44,58,44,58,44,61,0: Blaze H: Iron Fist,0.5,6.2,Brown,,Monferno
391,Monferno,Fire,Fighting,0.875,0.125,64,78,52,78,52,81,0: Blaze H: Iron Fist,0.9,22,Brown,14,Infernape
392,Infernape,Fire,Fighting,0.875,0.125,76,104,71,104,71,108,0: Blaze H: Iron Fist,1.2,55,Brown,36,
393,Piplup,Water,null,0.875,0.125,53,51,53,61,56,40,0: Torrent H: Competitive,0.4,5.2,Blue,,Prinplup
394,Prinplup,Water,null,0.875,0.125,64,66,68,81,76,50,0: Torrent H: Competitive,0.8,23,Blue,16,Empoleon
395,Empoleon,Water,Steel,0.875,0.125,84,86,88,111,101,60,0: Torrent H: Competitive,1.7,84.5,Blue,36,
396,Starly,Normal,Flying,0.5,0.5,40,55,30,30,30,60,0: Keen Eye H: Reckless,0.3,2,Brown,,Staravia
397,Staravia,Normal,Flying,0.5,0.5,55,75,50,40,40,80,0: Intimidate H: Reckless,0.6,15.5,Brown,14,Staraptor
398,Staraptor,Normal,Flying,0.5,0.5,85,120,70,50,60,100,0: Intimidate H: Reckless,1.2,24.9,Brown,34,
399,Bidoof,Normal,null,0.5,0.5,59,45,40,35,40,31,0: Simple 1: Unaware H: Moody,0.5,20,Brown,,Bibarel
400,Bibarel,Normal,Water,0.5,0.5,79,85,60,55,60,71,0: Simple 1: Unaware H: Moody,1,31.5,Brown,15,
401,Kricketot,Bug,null,0.5,0.5,37,25,41,25,41,25,0: Shed Skin H: Run Away,0.3,2.2,Red,,Kricketune
402,Kricketune,Bug,null,0.5,0.5,77,85,51,55,51,65,0: Swarm H: Technician,1,25.5,Red,10,
403,Shinx,Electric,null,0.5,0.5,45,65,34,40,34,45,0: Rivalry 1: Intimidate H: Guts,0.5,9.5,Blue,,Luxio
404,Luxio,Electric,null,0.5,0.5,60,85,49,60,49,60,0: Rivalry 1: Intimidate H: Guts,0.9,30.5,Blue,15,Luxray
405,Luxray,Electric,null,0.5,0.5,80,120,79,95,79,70,0: Rivalry 1: Intimidate H: Guts,1.4,42,Blue,30,
406,Budew,Grass,Poison,0.5,0.5,40,30,35,50,70,55,0: Natural Cure 1: Poison Point H: Leaf Guard,0.2,1.2,Green,,Roselia
407,Roserade,Grass,Poison,0.5,0.5,60,70,65,125,105,90,0: Natural Cure 1: Poison Point H: Technician,0.9,14.5,Green,,
408,Cranidos,Rock,null,0.875,0.125,67,125,40,30,30,58,0: Mold Breaker H: Sheer Force,0.9,31.5,Blue,,Rampardos
409,Rampardos,Rock,null,0.875,0.125,97,165,60,65,50,58,0: Mold Breaker H: Sheer Force,1.6,102.5,Blue,30,
410,Shieldon,Rock,Steel,0.875,0.125,30,42,118,42,88,30,0: Sturdy H: Soundproof,0.5,57,Gray,,Bastiodon
411,Bastiodon,Rock,Steel,0.875,0.125,60,52,168,47,138,30,0: Sturdy H: Soundproof,1.3,149.5,Gray,30,
412,Burmy,Bug,null,0.5,0.5,40,29,45,29,45,36,0: Shed Skin H: Overcoat,0.2,3.4,Green,,Wormadam
413,Wormadam,Bug,Grass,0.5,0.5,60,59,85,79,105,36,0: Anticipation H: Overcoat,0.5,6.5,Green,20,
413,Wormadam-Sandy,Bug,Ground,0.5,0.5,60,79,105,59,85,36,0: Anticipation H: Overcoat,0.5,6.5,Brown,20,
413,Wormadam-Trash,Bug,Steel,0.5,0.5,60,69,95,69,95,36,0: Anticipation H: Overcoat,0.5,6.5,Red,20,
414,Mothim,Bug,Flying,0.5,0.5,70,94,50,94,50,66,0: Swarm H: Tinted Lens,0.9,23.3,Yellow,20,
415,Combee,Bug,Flying,0.875,0.125,30,30,42,30,42,70,0: Honey Gather H: Hustle,0.3,5.5,Yellow,,Vespiquen
416,Vespiquen,Bug,Flying,0.5,0.5,70,80,102,80,102,40,0: Pressure H: Unnerve,1.2,38.5,Yellow,21,
417,Pachirisu,Electric,null,0.5,0.5,60,45,70,45,90,95,0: Run Away 1: Pickup H: Volt Absorb,0.4,3.9,White,,
418,Buizel,Water,null,0.5,0.5,55,65,35,60,30,85,0: Swift Swim H: Water Veil,0.7,29.5,Brown,,Floatzel
419,Floatzel,Water,null,0.5,0.5,85,105,55,85,50,115,0: Swift Swim H: Water Veil,1.1,33.5,Brown,26,
420,Cherubi,Grass,null,0.5,0.5,45,35,45,62,53,35,0: Chlorophyll,0.4,3.3,Pink,,Cherrim
421,Cherrim,Grass,null,0.5,0.5,70,60,70,87,78,85,0: Flower Gift,0.5,9.3,Purple,25,
421,Cherrim-Sunshine,Grass,null,0.5,0.5,70,60,70,87,78,85,0: Flower Gift,0.5,9.3,Pink,,
422,Shellos,Water,null,0.5,0.5,76,48,48,57,62,34,0: Sticky Hold 1: Storm Drain H: Sand Force,0.3,6.3,Purple,,Gastrodon
423,Gastrodon,Water,Ground,0.5,0.5,111,83,68,92,82,39,0: Sticky Hold 1: Storm Drain H: Sand Force,0.9,29.9,Purple,30,
424,Ambipom,Normal,null,0.5,0.5,75,100,66,60,66,115,0: Technician 1: Pickup H: Skill Link,1.2,20.3,Purple,,
425,Drifloon,Ghost,Flying,0.5,0.5,90,50,34,60,44,70,0: Aftermath 1: Unburden H: Flare Boost,0.4,1.2,Purple,,Drifblim
426,Drifblim,Ghost,Flying,0.5,0.5,150,80,44,90,54,80,0: Aftermath 1: Unburden H: Flare Boost,1.2,15,Purple,28,
427,Buneary,Normal,null,0.5,0.5,55,66,44,44,56,85,0: Run Away 1: Klutz H: Limber,0.4,5.5,Brown,,Lopunny
428,Lopunny,Normal,null,0.5,0.5,65,76,84,54,96,105,0: Cute Charm 1: Klutz H: Limber,1.2,33.3,Brown,,
429,Mismagius,Ghost,null,0.5,0.5,60,60,60,105,105,105,0: Levitate,0.9,4.4,Purple,,
430,Honchkrow,Dark,Flying,0.5,0.5,100,125,52,105,52,71,0: Insomnia 1: Super Luck H: Moxie,0.9,27.3,Black,,
431,Glameow,Normal,null,0.25,0.75,49,55,42,42,37,85,0: Limber 1: Own Tempo H: Keen Eye,0.5,3.9,Gray,,Purugly
432,Purugly,Normal,null,0.25,0.75,71,82,64,64,59,112,0: Thick Fat 1: Own Tempo H: Defiant,1,43.8,Gray,38,
433,Chingling,Psychic,null,0.5,0.5,45,30,50,65,50,45,0: Levitate,0.2,0.6,Yellow,,Chimecho
434,Stunky,Poison,Dark,0.5,0.5,63,63,47,41,41,74,0: Stench 1: Aftermath H: Keen Eye,0.4,19.2,Purple,,Skuntank
435,Skuntank,Poison,Dark,0.5,0.5,103,93,67,71,61,84,0: Stench 1: Aftermath H: Keen Eye,1,38,Purple,34,
436,Bronzor,Steel,Psychic,0.5,0.5,57,24,86,24,86,23,0: Levitate 1: Heatproof H: Heavy Metal,0.5,60.5,Green,,Bronzong
437,Bronzong,Steel,Psychic,0.5,0.5,67,89,116,79,116,33,0: Levitate 1: Heatproof H: Heavy Metal,1.3,187,Green,33,
438,Bonsly,Rock,null,0.5,0.5,50,80,95,10,45,10,0: Sturdy 1: Rock Head H: Rattled,0.5,15,Brown,,Sudowoodo
439,Mime Jr.,Psychic,Fairy,0.5,0.5,20,25,45,70,90,60,0: Soundproof 1: Filter H: Technician,0.6,13,Pink,,Mr. Mime
440,Happiny,Normal,null,0.5,0.5,100,5,5,15,65,30,0: Natural Cure 1: Serene Grace H: Friend Guard,0.6,24.4,Pink,,Chansey
441,Chatot,Normal,Flying,0.5,0.5,76,65,45,92,42,91,0: Keen Eye 1: Tangled Feet H: Big Pecks,0.5,1.9,Black,,
442,Spiritomb,Ghost,Dark,0.5,0.5,50,92,108,92,108,35,0: Pressure H: Infiltrator,1,108,Purple,,
443,Gible,Dragon,Ground,0.5,0.5,58,70,45,40,45,42,0: Sand Veil H: Rough Skin,0.7,20.5,Blue,,Gabite
444,Gabite,Dragon,Ground,0.5,0.5,68,90,65,50,55,82,0: Sand Veil H: Rough Skin,1.4,56,Blue,24,Garchomp
445,Garchomp,Dragon,Ground,0.5,0.5,108,130,95,80,85,102,0: Sand Veil H: Rough Skin,1.9,95,Blue,48,
446,Munchlax,Normal,null,0.875,0.125,135,85,40,40,85,5,0: Pickup 1: Thick Fat H: Gluttony,0.6,105,Black,,Snorlax
447,Riolu,Fighting,null,0.875,0.125,40,70,40,35,40,60,0: Steadfast 1: Inner Focus H: Prankster,0.7,20.2,Blue,,Lucario
448,Lucario,Fighting,Steel,0.875,0.125,70,110,70,115,70,90,0: Steadfast 1: Inner Focus H: Justified,1.2,54,Blue,,
449,Hippopotas,Ground,null,0.5,0.5,68,72,78,38,42,32,0: Sand Stream H: Sand Force,0.8,49.5,Brown,,Hippowdon
450,Hippowdon,Ground,null,0.5,0.5,108,112,118,68,72,47,0: Sand Stream H: Sand Force,2,300,Brown,34,
451,Skorupi,Poison,Bug,0.5,0.5,40,50,90,30,55,65,0: Battle Armor 1: Sniper H: Keen Eye,0.8,12,Purple,,Drapion
452,Drapion,Poison,Dark,0.5,0.5,70,90,110,60,75,95,0: Battle Armor 1: Sniper H: Keen Eye,1.3,61.5,Purple,40,
453,Croagunk,Poison,Fighting,0.5,0.5,48,61,40,61,40,50,0: Anticipation 1: Dry Skin H: Poison Touch,0.7,23,Blue,,Toxicroak
454,Toxicroak,Poison,Fighting,0.5,0.5,83,106,65,86,65,85,0: Anticipation 1: Dry Skin H: Poison Touch,1.3,44.4,Blue,37,
455,Carnivine,Grass,null,0.5,0.5,74,100,72,90,72,46,0: Levitate,1.4,27,Green,,
456,Finneon,Water,null,0.5,0.5,49,49,56,49,61,66,0: Swift Swim 1: Storm Drain H: Water Veil,0.4,7,Blue,,Lumineon
457,Lumineon,Water,null,0.5,0.5,69,69,76,69,86,91,0: Swift Swim 1: Storm Drain H: Water Veil,1.2,24,Blue,31,
458,Mantyke,Water,Flying,0.5,0.5,45,20,50,60,120,50,0: Swift Swim 1: Water Absorb H: Water Veil,1,65,Blue,,Mantine
459,Snover,Grass,Ice,0.5,0.5,60,62,50,62,60,40,0: Snow Warning H: Soundproof,1,50.5,White,,Abomasnow
460,Abomasnow,Grass,Ice,0.5,0.5,90,92,75,92,85,60,0: Snow Warning H: Soundproof,2.2,135.5,White,40,
461,Weavile,Dark,Ice,0.5,0.5,70,120,65,45,85,125,0: Pressure H: Pickpocket,1.1,34,Black,,
462,Magnezone,Electric,Steel,0.5,0.5,70,70,115,130,90,60,0: Magnet Pull 1: Sturdy H: Analytic,1.2,180,Gray,,
463,Lickilicky,Normal,null,0.5,0.5,110,85,95,80,95,50,0: Own Tempo 1: Oblivious H: Cloud Nine,1.7,140,Pink,,
464,Rhyperior,Ground,Rock,0.5,0.5,115,140,130,55,55,40,0: Lightning Rod 1: Solid Rock H: Reckless,2.4,282.8,Gray,,
465,Tangrowth,Grass,null,0.5,0.5,100,100,125,110,50,50,0: Chlorophyll 1: Leaf Guard H: Regenerator,2,128.6,Blue,,
466,Electivire,Electric,null,0.75,0.25,75,123,67,95,85,95,0: Motor Drive H: Vital Spirit,1.8,138.6,Yellow,,
467,Magmortar,Fire,null,0.75,0.25,75,95,67,125,95,83,0: Flame Body H: Vital Spirit,1.6,68,Red,,
468,Togekiss,Fairy,Flying,0.875,0.125,85,50,95,120,115,80,0: Hustle 1: Serene Grace H: Super Luck,1.5,38,White,,
469,Yanmega,Bug,Flying,0.5,0.5,86,76,86,116,56,95,0: Speed Boost 1: Tinted Lens H: Frisk,1.9,51.5,Green,,
470,Leafeon,Grass,null,0.875,0.125,65,110,130,60,65,95,0: Leaf Guard H: Chlorophyll,1,25.5,Green,,
471,Glaceon,Ice,null,0.875,0.125,65,60,110,130,95,65,0: Snow Cloak H: Ice Body,0.8,25.9,Blue,,
472,Gliscor,Ground,Flying,0.5,0.5,75,95,125,45,75,95,0: Hyper Cutter 1: Sand Veil H: Poison Heal,2,42.5,Purple,,
473,Mamoswine,Ice,Ground,0.5,0.5,110,130,80,70,60,80,0: Oblivious 1: Snow Cloak H: Thick Fat,2.5,291,Brown,,
474,Porygon-Z,Normal,null,0.5,0.5,85,80,70,135,75,90,0: Adaptability 1: Download H: Analytic,0.9,34,Red,,
475,Gallade,Psychic,Fighting,0.5,0.5,68,125,65,65,115,80,0: Steadfast 1: Sharpness H: Justified,1.6,52,White,,
476,Probopass,Rock,Steel,0.5,0.5,60,55,145,75,150,40,0: Sturdy 1: Magnet Pull H: Sand Force,1.4,340,Gray,,
477,Dusknoir,Ghost,null,0.5,0.5,45,100,135,65,135,45,0: Pressure H: Frisk,2.2,106.6,Black,,
478,Froslass,Ice,Ghost,0.5,0.5,70,80,70,80,70,110,0: Snow Cloak H: Cursed Body,1.3,26.6,White,,
479,Rotom,Electric,Ghost,0.5,0.5,50,50,77,95,77,91,0: Levitate,0.3,0.3,Red,,
479,Rotom-Heat,Electric,Fire,0.5,0.5,50,65,107,105,107,86,0: Levitate,0.3,0.3,Red,,
479,Rotom-Wash,Electric,Water,0.5,0.5,50,65,107,105,107,86,0: Levitate,0.3,0.3,Red,,
479,Rotom-Frost,Electric,Ice,0.5,0.5,50,65,107,105,107,86,0: Levitate,0.3,0.3,Red,,
479,Rotom-Fan,Electric,Flying,0.5,0.5,50,65,107,105,107,86,0: Levitate,0.3,0.3,Red,,
479,Rotom-Mow,Electric,Grass,0.5,0.5,50,65,107,105,107,86,0: Levitate,0.3,0.3,Red,,
480,Uxie,Psychic,null,0.5,0.5,75,75,130,75,130,95,0: Levitate,0.3,0.3,Yellow,,
481,Mesprit,Psychic,null,0.5,0.5,80,105,105,105,105,80,0: Levitate,0.3,0.3,Pink,,
482,Azelf,Psychic,null,0.5,0.5,75,125,70,125,70,115,0: Levitate,0.3,0.3,Blue,,
483,Dialga,Steel,Dragon,0.5,0.5,100,120,120,150,100,90,0: Pressure H: Telepathy,5.4,683,White,,
483,Dialga-Origin,Steel,Dragon,0.5,0.5,100,100,120,150,120,90,0: Pressure H: Telepathy,7,850,Blue,,
484,Palkia,Water,Dragon,0.5,0.5,90,120,100,150,120,100,0: Pressure H: Telepathy,4.2,336,Purple,,
484,Palkia-Origin,Water,Dragon,0.5,0.5,90,100,100,150,120,120,0: Pressure H: Telepathy,6.3,660,Purple,,
485,Heatran,Fire,Steel,0.5,0.5,91,90,106,130,106,77,0: Flash Fire H: Flame Body,1.7,430,Brown,,
486,Regigigas,Normal,null,0.5,0.5,110,160,110,80,110,100,0: Slow Start,3.7,420,White,,
487,Giratina,Ghost,Dragon,0.5,0.5,150,100,120,100,120,90,0: Pressure H: Telepathy,4.5,750,Black,,
487,Giratina-Origin,Ghost,Dragon,0.5,0.5,150,120,100,120,100,90,0: Levitate,6.9,650,Black,,
488,Cresselia,Psychic,null,0.5,0.5,120,70,110,75,120,85,0: Levitate,1.5,85.6,Yellow,,
489,Phione,Water,null,0.5,0.5,80,80,80,80,80,80,0: Hydration,0.4,3.1,Blue,,
490,Manaphy,Water,null,0.5,0.5,100,100,100,100,100,100,0: Hydration,0.3,1.4,Blue,,
491,Darkrai,Dark,null,0.5,0.5,70,90,90,135,90,125,0: Bad Dreams,1.5,50.5,Black,,
492,Shaymin,Grass,null,0.5,0.5,100,100,100,100,100,100,0: Natural Cure,0.2,2.1,Green,,
492,Shaymin-Sky,Grass,Flying,0.5,0.5,100,103,75,120,75,127,0: Serene Grace,0.4,5.2,Green,,
493,Arceus,Normal,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Bug,Bug,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Dark,Dark,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Dragon,Dragon,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Electric,Electric,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Fairy,Fairy,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Fighting,Fighting,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Fire,Fire,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Flying,Flying,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Ghost,Ghost,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Grass,Grass,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Ground,Ground,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Ice,Ice,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Poison,Poison,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Psychic,Psychic,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Rock,Rock,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Steel,Steel,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
493,Arceus-Water,Water,null,0.5,0.5,120,120,120,120,120,120,0: Multitype,3.2,320,White,,
494,Victini,Psychic,Fire,0.5,0.5,100,100,100,100,100,100,0: Victory Star,0.4,4,Yellow,,
495,Snivy,Grass,null,0.875,0.125,45,45,55,45,55,63,0: Overgrow H: Contrary,0.6,8.1,Green,,Servine
496,Servine,Grass,null,0.875,0.125,60,60,75,60,75,83,0: Overgrow H: Contrary,0.8,16,Green,17,Serperior
497,Serperior,Grass,null,0.875,0.125,75,75,95,75,95,113,0: Overgrow H: Contrary,3.3,63,Green,36,
498,Tepig,Fire,null,0.875,0.125,65,63,45,45,45,45,0: Blaze H: Thick Fat,0.5,9.9,Red,,Pignite
499,Pignite,Fire,Fighting,0.875,0.125,90,93,55,70,55,55,0: Blaze H: Thick Fat,1,55.5,Red,17,Emboar
500,Emboar,Fire,Fighting,0.875,0.125,110,123,65,100,65,65,0: Blaze H: Reckless,1.6,150,Red,36,
501,Oshawott,Water,null,0.875,0.125,55,55,45,63,45,45,0: Torrent H: Shell Armor,0.5,5.9,Blue,,Dewott
